,Quarter,Tm,Detail,GNB,TAM
0,1,Buccaneers,Ricky Bell 9 yard pass from Doug Williams (Neil O'Donoghue kick),0,7
1,2,Buccaneers,Doug Williams 1 yard rush (Neil O'Donoghue kick),0,14
2,3,Packers,Chester Marcol 42 yard field goal,3,14
3,4,Buccaneers,Jimmie Giles 2 yard pass from Doug Williams (Neil O'Donoghue kick),3,21
