,Quarter,Time,Tm,Detail,HOU,PIT
0,1.0,13:15,Steelers,Kordell Stewart 16 yard pass from Mike Tomczak (Norm Johnson kick),0,7
1,1.0,13:15,Steelers,Norm Johnson 33 yard field goal,0,10
2,1.0,12:16,Steelers,Charles Johnson 62 yard pass from Mike Tomczak (Norm Johnson kick),0,17
3,2.0,12:16,Steelers,Norm Johnson 36 yard field goal,0,20
4,3.0,12:16,Oilers,Willie Davis 4 yard pass from Chris Chandler (Al Del Greco kick),7,20
5,3.0,12:16,Oilers,Darryll Lewis 36 yard interception return (Al Del Greco kick),14,20
6,4.0,12:16,Steelers,Norm Johnson 36 yard field goal,14,23
7,4.0,12:16,Steelers,Darren Perry 13 yard interception return (Norm Johnson kick),14,30
8,4.0,12:16,Oilers,"Safety, Edge ran out of end zone",16,30
