,Quarter,Time,Tm,Detail,GNB,NWE
0,1.0,,Packers,Dorsey Levens 6 yard pass from Brett Favre (Ryan Longwell kick),7,0
1,2.0,,Patriots,Ben Coates 11 yard pass from Drew Bledsoe (Adam Vinatieri kick),7,7
2,2.0,,Patriots,Adam Vinatieri 38 yard field goal,7,10
3,2.0,,Packers,Mark Chmura 32 yard pass from Brett Favre (Ryan Longwell kick),14,10
4,3.0,,Packers,Robert Brooks 20 yard pass from Brett Favre (Ryan Longwell kick),21,10
5,4.0,,Packers,Dorsey Levens 3 yard rush (Ryan Longwell kick),28,10
