,Quarter,Tm,Detail,CLE,CIN
0,2.0,Bengals,Pete Johnson 1 yard rush (Jim Breech kick),0,7
1,2.0,Browns,Ozzie Newsome 5 yard pass from Brian Sipe (Matt Bahr kick),7,7
2,2.0,Browns,Bobby Jones 8 yard pass from Brian Sipe (Matt Bahr kick),14,7
3,3.0,Bengals,Turk Schonert 1 yard rush (Jim Breech kick),14,14
4,3.0,Browns,Ozzie Newsome 17 yard pass from Brian Sipe (Matt Bahr kick),21,14
5,4.0,Bengals,Charles Alexander 4 yard rush (Jim Breech kick),21,21
6,4.0,Bengals,Ken Riley 42 yard interception return (Jim Breech kick),21,28
