,Quarter,Time,Tm,Detail,DET,GNB
0,1.0,13:00,Lions,Titus Young 8 yard pass from Matthew Stafford (Jason Hanson kick),7,0
1,1.0,12:59,Lions,"Safety, Pat Lee tackled in end zone.",9,0
2,1.0,5:55,Packers,Mason Crosby 22 yard field goal,9,3
3,1.0,0:16,Packers,Jordy Nelson 7 yard pass from Matt Flynn (Mason Crosby kick),9,10
4,2.0,8:18,Lions,Calvin Johnson 13 yard pass from Matthew Stafford (Jason Hanson kick),16,10
5,2.0,8:00,Packers,Ryan Grant 80 yard pass from Matt Flynn (Mason Crosby kick),16,17
6,2.0,5:53,Lions,Jason Hanson 30 yard field goal,19,17
7,2.0,3:37,Packers,Jordy Nelson 36 yard pass from Matt Flynn (Mason Crosby kick),19,24
8,3.0,6:39,Lions,Titus Young 2 yard pass from Matthew Stafford (Jason Hanson kick),26,24
9,3.0,4:32,Packers,Jordy Nelson 58 yard pass from Matt Flynn (Mason Crosby kick),26,31
10,3.0,2:07,Lions,Kevin Smith 5 yard pass from Matthew Stafford (Tony Scheffler pass from Matthew Stafford),34,31
11,4.0,8:10,Packers,Donald Driver 35 yard pass from Matt Flynn (Mason Crosby kick),34,38
12,4.0,2:39,Lions,Tony Scheffler 12 yard pass from Matthew Stafford (Jason Hanson kick),41,38
13,4.0,1:10,Packers,Jermichael Finley 4 yard pass from Matt Flynn (Mason Crosby kick),41,45
