,Quarter,Tm,Detail,SFO,NOR
0,2.0,49ers,Dwight Clark 26 yard pass from Joe Montana (Ray Wersching kick),7,0
1,2.0,Saints,Morten Andersen 46 yard field goal,7,3
2,2.0,Saints,Frank Warren 42 yard blocked field goal return,7,9
3,3.0,49ers,Mike Wilson 52 yard pass from Joe Montana (Ray Wersching kick),14,9
4,3.0,Saints,Eugene Goodlow 76 yard pass from Bobby Hebert (Morten Andersen kick),14,16
5,3.0,49ers,Ray Wersching 24 yard field goal,17,16
6,4.0,Saints,Morten Andersen 41 yard field goal,17,19
7,4.0,49ers,Russ Francis 17 yard pass from Joe Montana (Ray Wersching kick),24,19
8,4.0,49ers,Roger Craig 15 yard rush (Ray Wersching kick),31,19
