,Quarter,Tm,Detail,MIN,KAN
0,1.0,Chiefs,Bill Jones 4 yard pass from Steve DeBerg (Nick Lowery kick),0,7
1,1.0,Chiefs,Todd McNair 22 yard pass from Steve DeBerg (Nick Lowery kick),0,14
2,1.0,Vikings,Herschel Walker 6 yard pass from Wade Wilson (Donald Igwebuike kick),7,14
3,2.0,Vikings,Steve Jordan 26 yard pass from Wade Wilson (Donald Igwebuike kick),14,14
4,2.0,Chiefs,Nick Lowery 43 yard field goal,14,17
5,3.0,Vikings,Herschel Walker 8 yard pass from Wade Wilson (Donald Igwebuike kick),21,17
6,4.0,Chiefs,Christian Okoye 2 yard rush (Nick Lowery kick),21,24
