,Quarter,Tm,Detail,SFO,BUF
0,1.0,49ers,Bruce Gossett 47 yard field goal,3,0
1,2.0,Bills,John Leypoldt 32 yard field goal,3,3
2,2.0,Bills,John Leypoldt 22 yard field goal,3,6
3,2.0,49ers,Ted Kwalick 20 yard pass from Steve Spurrier (Bruce Gossett kick),10,6
4,3.0,49ers,Bruce Gossett 20 yard field goal,13,6
5,3.0,Bills,Jan White 17 yard pass from Dennis Shaw (John Leypoldt kick),13,13
6,4.0,49ers,Larry Schreiber 2 yard rush (Bruce Gossett kick),20,13
7,4.0,Bills,Jim Braxton 2 yard rush (John Leypoldt kick),20,20
8,4.0,Bills,Jim Braxton 1 yard rush (John Leypoldt kick),20,27
