,Quarter,Tm,Detail,BKN,NYG
0,2.0,Giants,Jim Lee Howell 9 yard pass from Len Barnum (Ken Strong kick),0,7
1,3.0,Giants,Kink Richards 10 yard rush (Ward Cuff kick),0,14
2,4.0,Dodgers,Pug Manders 2 yard rush (Bruiser Kinard kick),7,14
3,4.0,Giants,Tuffy Leemans 3 yard rush (Len Barnum kick),7,21
4,4.0,Giants,Jim Lee Howell 10 yard pass from Eddie Miller (Ken Strong kick),7,28
