,Quarter,Tm,Detail,DEN,BUF
0,1.0,Broncos,Rich Karlis 45 yard field goal,3,0
1,2.0,Broncos,Clarence Kay 3 yard pass from John Elway (Rich Karlis kick),10,0
2,2.0,Broncos,Steve Watson 52 yard pass from John Elway (Rich Karlis kick),17,0
3,2.0,Broncos,Rich Karlis 45 yard field goal,20,0
4,2.0,Broncos,Rich Karlis 40 yard field goal,23,0
5,3.0,Broncos,Gary Kubiak 3 yard rush (Rich Karlis kick),30,0
6,4.0,Broncos,Sammy Winder 14 yard pass from Gary Kubiak (Rich Karlis kick),37,0
7,4.0,Bills,Mitchell Brookins 70 yard pass from Matt Kofler (Joe Danelo kick),37,7
