,Quarter,Tm,Detail,OAK,HOU
0,2.0,Oilers,Skip Butler 44 yard field goal,0,3
1,3.0,Raiders,George Blanda 9 yard field goal,3,3
2,4.0,Raiders,Fred Biletnikoff 21 yard pass from Ken Stabler (George Blanda kick),10,3
3,4.0,Oilers,Skip Butler 16 yard field goal,10,6
4,4.0,Raiders,Marv Hubbard 2 yard rush (George Blanda kick),17,6
