,Quarter,Tm,Detail,BKN,PHI
0,1.0,Dodgers,Merl Condit 5 yard rush (Merl Condit kick),7,0
1,1.0,Dodgers,Merl Condit 9 yard rush (Merl Condit kick),14,0
2,2.0,Eagles,Tommy Thompson 5 yard pass from Foster Watkins (Nick Basca kick),14,7
3,4.0,Dodgers,Dean McAdams 24 yard field goal,17,7
4,4.0,Dodgers,George Kracum 6 yard rush (Bruiser Kinard kick),24,7
5,4.0,Eagles,Larry Cabrelli 50 yard pass from Tommy Thompson,24,13
