,Quarter,Tm,Detail,CHI,GNB
0,1.0,Bears,Bob Thomas 34 yard field goal,3,0
1,2.0,Packers,Paul Coffman 6 yard pass from Lynn Dickey (Tom Birney kick),3,7
2,2.0,Bears,Bob Thomas 33 yard field goal,6,7
3,4.0,Bears,Tom Hicks 66 yard interception return,12,7
4,4.0,Bears,Bob Thomas 44 yard field goal,15,7
5,4.0,Packers,Paul Coffman 22 yard pass from Lynn Dickey (Tom Birney kick),15,14
