,Quarter,Tm,Detail,CLE,DAL
0,1.0,Browns,Bo Scott 2 yard rush (Don Cockroft kick),7,0
1,2.0,Browns,Milt Morin 6 yard pass from Bill Nelsen (Don Cockroft kick),14,0
2,2.0,Browns,Don Cockroft 29 yard field goal,17,0
3,3.0,Browns,Bo Scott 2 yard rush (Don Cockroft kick),24,0
4,3.0,Cowboys,Craig Morton 2 yard rush (Mike Clark kick),24,7
5,4.0,Browns,Leroy Kelly 1 yard rush (Don Cockroft kick),31,7
6,4.0,Browns,Walt Sumner 88 yard interception return (Don Cockroft kick),38,7
7,4.0,Cowboys,Lance Rentzel 5 yard pass from Roger Staubach (Mike Clark kick),38,14
