,Quarter,Tm,Detail,GNB,NYG
0,1.0,Packers,Jerry Kramer 26 yard field goal,3,0
1,2.0,Packers,Jim Taylor 7 yard rush (Jerry Kramer kick),10,0
2,3.0,Giants,Jim Collier special teams fumble recovery in end zone (Don Chandler kick),10,7
3,3.0,Packers,Jerry Kramer 29 yard field goal,13,7
4,4.0,Packers,Jerry Kramer 30 yard field goal,16,7
