,Quarter,Tm,Detail,GNB,MIN
0,1.0,Packers,Johnny Blood unknown yard pass from Red Dunn,6,0
1,3.0,Red Jackets,Herb Joesting 1 yard rush,6,6
2,4.0,Packers,Red Dunn 25 yard field goal,9,6
3,4.0,Packers,Lavvie Dilweg unknown yard pass from Verne Lewellen (Red Dunn kick),16,6
