,Quarter,Tm,Detail,NYG,CRD
0,1.0,Giants,Ben Agajanian 21 yard field goal,3,0
1,1.0,Cardinals,Jim Psaltis 7 yard interception return (Pat Summerall kick),3,7
2,2.0,Giants,Bob Schnelker 18 yard pass from Charlie Conerly (Ben Agajanian kick),10,7
3,2.0,Cardinals,Ollie Matson 51 yard pass from Lamar McHan (Pat Summerall kick),10,14
4,2.0,Giants,Alex Webster 16 yard rush (Ben Agajanian kick),17,14
5,2.0,Cardinals,Gern Nagler 74 yard pass from Lamar McHan (Pat Summerall kick),17,21
6,4.0,Cardinals,Dave Mann 65 yard rush (Pat Summerall kick),17,28
