,Quarter,Time,Tm,Detail,WAS,IND
0,1.0,6:48,Colts,Edgerrin James 37 yard pass from Peyton Manning (Mike Vanderjagt kick),0,7
1,1.0,2:11,Redskins,Brett Conway 23 yard field goal,3,7
2,2.0,11:20,Redskins,Albert Connell 48 yard pass from Brad Johnson (Brett Conway kick),10,7
3,2.0,7:20,Colts,Mike Vanderjagt 43 yard field goal,10,10
4,2.0,1:54,Redskins,Brett Conway 32 yard field goal,13,10
5,4.0,14:56,Colts,Ken Dilger 1 yard pass from Peyton Manning (Mike Vanderjagt kick),13,17
6,4.0,5:57,Colts,Edgerrin James 2 yard rush (Mike Vanderjagt kick),13,24
7,4.0,1:24,Redskins,Brian Mitchell 6 yard rush (Michael Westbrook pass from Brad Johnson ),21,24
