,Quarter,Tm,Detail,NYJ,DET
0,1.0,Jets,Pat Leahy 39 yard field goal,3,0
1,1.0,Lions,Eddie Murray 39 yard field goal,3,3
2,2.0,Jets,Freeman McNeil 10 yard pass from Ken O'Brien (Pat Leahy kick),10,3
3,3.0,Lions,Garry James 1 yard rush (Eddie Murray kick),10,10
4,4.0,Jets,Wesley Walker 26 yard pass from Ken O'Brien (Pat Leahy kick),17,10
