,Quarter,Time,Tm,Detail,JAX,BAL
0,1,,Ravens,Mike Caldwell 45 yard interception return (Matt Stover kick),0,7
1,2,,Ravens,Matt Stover 21 yard field goal,0,10
2,2,,Jaguars,James Stewart 1 yard rush (Mike Hollis kick),7,10
3,2,,Ravens,Matt Stover 29 yard field goal,7,13
4,2,,Jaguars,Mike Hollis 29 yard field goal,10,13
5,2,,Ravens,Matt Stover 41 yard field goal,10,16
6,3,,Ravens,Bam Morris 1 yard rush (run failed),10,22
7,3,,Ravens,Matt Stover 33 yard field goal,10,25
8,4,,Jaguars,Pete Mitchell 11 yard pass from Mark Brunell (Mike Hollis kick),17,25
9,4,,Jaguars,Willie Jackson 7 yard pass from Mark Brunell (Mark Brunell run),25,25
10,OT,,Jaguars,Mike Hollis 34 yard field goal,28,25
