,Quarter,Tm,Detail,RAM,NWE
0,1.0,Rams,Mike Lansford 19 yard field goal,3,0
1,2.0,Rams,Jerry Gray 27 yard interception return (Mike Lansford kick),10,0
2,2.0,Patriots,Jason Staurovsky 44 yard field goal,10,3
3,3.0,Rams,Buford McGee 7 yard pass from Jim Everett (Mike Lansford kick),17,3
4,3.0,Patriots,Irving Fryar 47 yard pass from Steve Grogan (Jason Staurovsky kick),17,10
5,4.0,Patriots,John Stephens 4 yard rush (Jason Staurovsky kick),17,17
6,4.0,Patriots,Jason Staurovsky 48 yard field goal,17,20
7,4.0,Rams,Greg Bell 3 yard rush (Mike Lansford kick),24,20
