,Quarter,Tm,Detail,CLE,SEA
0,1.0,Seahawks,Robert Blackmon 5 yard defensive fumble return (John Kasay kick),0,7
1,1.0,Browns,"Safety, Pleasant tackled Mirer in end zone",2,7
2,2.0,Browns,Matt Stover 25 yard field goal,5,7
3,3.0,Seahawks,John Williams 23 yard pass from Rick Mirer (John Kasay kick),5,14
4,4.0,Seahawks,John Kasay 42 yard field goal,5,17
5,4.0,Seahawks,John Kasay 47 yard field goal,5,20
6,4.0,Seahawks,"Safety, Edwards tackled Philcox in end zone",5,22
