,Quarter,Tm,Detail,PRT,BKN
0,1.0,Dodgers,Bull Karcis 2 yard rush (Benny Friedman kick),0,7
1,2.0,Spartans,Dutch Clark 65 yard pass from John Cavosie (Dutch Clark kick),7,7
2,4.0,Spartans,Dutch Clark 25 yard field goal,10,7
3,4.0,Spartans,Ace Gutowsky 3 yard rush (Dutch Clark kick),17,7
