,Quarter,Tm,Detail,CRD,CLE
0,1.0,Browns,Billy Kinard 27 yard rush (Lou Groza kick),0,7
1,2.0,Cardinals,Lamar McHan 1 yard rush (Pat Summerall kick),7,7
2,2.0,Cardinals,Ollie Matson 1 yard rush (Pat Summerall kick),14,7
3,3.0,Cardinals,Pat Summerall 15 yard field goal,17,7
4,4.0,Cardinals,Lamar McHan 3 yard rush (Pat Summerall kick),24,7
