,Quarter,Time,Tm,Detail,BAL,NWE
0,1.0,10:47,Patriots,"Safety, Kenneth Dixon tackled in end zone by Malcom Brown",0,2
1,1.0,1:04,Patriots,LeGarrette Blount 1 yard rush (Stephen Gostkowski kick),0,9
2,2.0,9:28,Patriots,Malcolm Mitchell 6 yard pass from Tom Brady (Stephen Gostkowski kick),0,16
3,2.0,0:11,Ravens,Justin Tucker 50 yard field goal,3,16
4,3.0,8:45,Patriots,Martellus Bennett 19 yard pass from Tom Brady (Stephen Gostkowski kick),3,23
5,3.0,6:50,Ravens,Darren Waller 3 yard pass from Joe Flacco (Justin Tucker kick),10,23
6,3.0,5:24,Ravens,Kenneth Dixon 8 yard pass from Joe Flacco (Justin Tucker kick),17,23
7,4.0,6:35,Ravens,Justin Tucker 38 yard field goal,20,23
8,4.0,6:18,Patriots,Chris Hogan 79 yard pass from Tom Brady (Stephen Gostkowski kick),20,30
9,4.0,2:03,Ravens,Justin Tucker 37 yard field goal,23,30
