,Quarter,Tm,Detail,CLE,CIN
0,1.0,Browns,Matt Stover 39 yard field goal,3,0
1,1.0,Bengals,Craig Thompson 1 yard pass from Boomer Esiason (Jim Breech kick),3,7
2,2.0,Bengals,Rodney Holman 4 yard pass from Boomer Esiason (Jim Breech kick),3,14
3,3.0,Bengals,Tim McGee 24 yard pass from Boomer Esiason (Jim Breech kick),3,21
4,3.0,Bengals,Jim Breech 26 yard field goal,3,24
5,4.0,Bengals,Jim Breech 21 yard field goal,3,27
6,4.0,Browns,Michael Jackson 30 yard pass from Mike Tomczak (Matt Stover kick),10,27
7,4.0,Bengals,Jim Breech 32 yard field goal,10,30
