,Quarter,Tm,Detail,NOR,DEN
0,1.0,Broncos,Butch Johnson 65 yard pass from John Elway (Rich Karlis kick),0,7
1,2.0,Broncos,Clint Sampson 26 yard pass from John Elway (Rich Karlis kick),0,14
2,2.0,Broncos,Gene Lang 10 yard pass from John Elway (Rich Karlis kick),0,21
3,2.0,Saints,Jeff Groth 39 yard pass from Dave Wilson,6,21
4,2.0,Broncos,Rich Karlis 43 yard field goal,6,24
5,3.0,Saints,Morten Andersen 55 yard field goal,9,24
6,3.0,Broncos,Clarence Kay 2 yard pass from John Elway (Rich Karlis kick),9,31
7,3.0,Saints,Larry Hardy 13 yard pass from Dave Wilson (Morten Andersen kick),16,31
8,4.0,Broncos,Rich Karlis 48 yard field goal,16,34
9,4.0,Saints,Hokie Gajan 3 yard rush (Morten Andersen kick),23,34
