,Quarter,Time,Tm,Detail,DEN,WAS
0,1.0,12:47,Broncos,Brandon Marshall 40 yard pass from Kyle Orton (Matt Prater kick),7,0
1,1.0,6:32,Redskins,Todd Yoder 2 yard pass from Jason Campbell (Shaun Suisham kick),7,7
2,1.0,3:35,Broncos,Brandon Marshall 75 yard pass from Kyle Orton (Matt Prater kick),14,7
3,2.0,6:30,Redskins,Mike Sellers 35 yard pass from Hunter Smith (Shaun Suisham kick),14,14
4,2.0,0:05,Broncos,Matt Prater 24 yard field goal,17,14
5,4.0,10:40,Redskins,Shaun Suisham 30 yard field goal,17,17
6,4.0,2:44,Redskins,Ladell Betts 1 yard rush (Shaun Suisham kick),17,24
7,4.0,1:10,Redskins,Shaun Suisham 35 yard field goal,17,27
