,Quarter,Time,Tm,Detail,PHI,ARI
0,1.0,,Cardinals,Bernard Wilson 66 yard interception return (Joe Nedney kick),0,7
1,1.0,13:53,Eagles,Willie Clark 39 yard kickoff return (Chris Boniol kick),7,7
2,2.0,13:53,Cardinals,Joe Nedney 45 yard field goal,7,10
3,3.0,13:53,Cardinals,Rob Moore 31 yard pass from Jake Plummer (Joe Nedney kick),7,17
4,3.0,13:53,Eagles,Mark Seay 19 yard pass from Ty Detmer (Chris Boniol kick),14,17
5,3.0,13:53,Eagles,Freddie Solomon 18 yard pass from Ty Detmer (Chris Boniol kick),21,17
6,4.0,13:53,Cardinals,Kent Graham 1 yard rush (Joe Nedney kick),21,24
7,4.0,13:53,Cardinals,Kent Graham 1 yard rush (Joe Nedney kick),21,31
