,Quarter,Time,Tm,Detail,IND,MIA
0,1.0,10:11,Colts,Marcus Pollard 50 yard pass from Peyton Manning (Mike Vanderjagt kick),7,0
1,2.0,12:22,Colts,Peyton Manning 4 yard rush (Mike Vanderjagt kick),14,0
2,2.0,1:54,Dolphins,Olindo Mare 25 yard field goal,14,3
3,2.0,0:00,Colts,Mike Vanderjagt 48 yard field goal,17,3
4,3.0,6:41,Colts,Mike Vanderjagt 31 yard field goal,20,3
5,3.0,2:43,Dolphins,Lamar Smith 8 yard rush (Olindo Mare kick),20,10
6,4.0,3:25,Dolphins,Olindo Mare 31 yard field goal,20,13
