,Quarter,Tm,Detail,CHI,DET
0,1.0,Bears,Brad Muster 1 yard rush (Kevin Butler kick),7,0
1,2.0,Lions,Robert Clark 20 yard pass from Rodney Peete (Eddie Murray kick),7,7
2,2.0,Lions,Richard Johnson 44 yard pass from Rodney Peete (Eddie Murray kick),7,14
3,2.0,Lions,Robert Clark 1 yard pass from Rodney Peete (Eddie Murray kick),7,21
4,3.0,Bears,Richard Dent 45 yard defensive fumble return (Kevin Butler kick),14,21
5,3.0,Lions,Terry Greer 68 yard pass from Rodney Peete (Eddie Murray kick),14,28
6,4.0,Lions,Barry Sanders 1 yard rush (Eddie Murray kick),14,35
7,4.0,Lions,Eddie Murray 26 yard field goal,14,38
8,4.0,Bears,Wendell Davis 8 yard pass from Peter Tom Willis (Kevin Butler kick),21,38
