,Quarter,Time,Tm,Detail,NWE,BAL
0,1.0,8:20,Ravens,Lamar Jackson 3 yard rush (Justin Tucker kick),0,7
1,1.0,2:33,Ravens,Justin Tucker 39 yard field goal,0,10
2,2.0,14:11,Ravens,Gus Edwards 12 yard rush (Justin Tucker kick),0,17
3,2.0,12:06,Patriots,Mohamed Sanu 4 yard pass from Tom Brady (Nick Folk kick),7,17
4,2.0,3:44,Patriots,Nick Folk 22 yard field goal,10,17
5,2.0,0:10,Patriots,Nick Folk 19 yard field goal,13,17
6,3.0,12:39,Ravens,Marlon Humphrey 70 yard fumble return (Justin Tucker kick),13,24
7,3.0,8:07,Patriots,James White 1 yard rush (Nick Folk kick),20,24
8,4.0,15:00,Ravens,Nick Boyle 5 yard pass from Lamar Jackson (Justin Tucker kick failed),20,30
9,4.0,3:19,Ravens,Lamar Jackson 1 yard rush (Justin Tucker kick),20,37
