,Quarter,Tm,Detail,RAM,DAL
0,2.0,Cowboys,Toni Fritsch 25 yard field goal,0,3
1,2.0,Cowboys,Doug Dennison 1 yard rush,0,9
2,3.0,Cowboys,Toni Fritsch 39 yard field goal,0,12
3,4.0,Cowboys,Toni Fritsch 19 yard field goal,0,15
4,4.0,Cowboys,Toni Fritsch 31 yard field goal,0,18
5,4.0,Rams,Ron Jaworski 4 yard rush (Tom Dempsey kick),7,18
