,Quarter,Time,Tm,Detail,KAN,OAK
0,1.0,9:30,Chiefs,Priest Holmes 1 yard rush (Lawrence Tynes kick),7,0
1,2.0,14:57,Raiders,LaMont Jordan 1 yard rush (Sebastian Janikowski kick),7,7
2,2.0,13:15,Chiefs,Larry Johnson 6 yard rush (Lawrence Tynes kick),14,7
3,2.0,8:30,Raiders,Sebastian Janikowski 29 yard field goal,14,10
4,2.0,2:26,Chiefs,Lawrence Tynes 31 yard field goal,17,10
5,3.0,9:18,Raiders,Randy Moss 64 yard pass from Kerry Collins (Sebastian Janikowski kick),17,17
6,3.0,0:00,Chiefs,Lawrence Tynes 39 yard field goal,20,17
7,4.0,8:46,Chiefs,Lawrence Tynes 42 yard field goal,23,17
