,Quarter,Tm,Detail,CLE,SDG
0,2.0,Chargers,Dennis Partee 26 yard field goal,0,3
1,2.0,Browns,Mike Phipps 1 yard rush (Don Cockroft kick),7,3
2,3.0,Chargers,Cid Edwards 4 yard pass from John Hadl (Dennis Partee kick),7,10
3,4.0,Browns,Ken Brown 2 yard rush (Don Cockroft kick),14,10
4,4.0,Chargers,Mike Garrett 3 yard rush (Dennis Partee kick),14,17
5,4.0,Browns,Frank Pitts 38 yard pass from Mike Phipps (Don Cockroft kick),21,17
