,Quarter,Tm,Detail,GNB,NYY
0,1.0,Yanks,Zollie Toth 2 yard rush (Chet Adams kick),0,7
1,1.0,Yanks,Jack Russell 3 yard fumble return (Chet Adams kick),0,14
2,2.0,Packers,Ted Fritsch 52 yard field goal,3,14
3,2.0,Packers,Ted Cook 17 yard pass from Paul Christman (Ted Fritsch kick),10,14
4,2.0,Yanks,Art Weiner 42 yard pass from George Ratterman (Chet Adams kick),10,21
5,3.0,Yanks,Buddy Young 69 yard pass from George Ratterman (Chet Adams kick),10,28
6,3.0,Packers,Al Baldwin 85 yard pass from Tobin Rote (Ted Fritsch kick),17,28
7,4.0,Yanks,Duke Iverson 10 yard interception return (Chet Adams kick),17,35
