,Quarter,Time,Tm,Detail,MIA,IND
0,1.0,4:15,Dolphins,Dan Carpenter 37 yard field goal,3,0
1,1.0,0:47,Colts,Reggie Wayne 9 yard pass from Andrew Luck (Adam Vinatieri kick),3,7
2,2.0,13:25,Dolphins,Charles Clay 31 yard pass from Ryan Tannehill (Dan Carpenter kick),10,7
3,2.0,9:37,Colts,Adam Vinatieri 23 yard field goal,10,10
4,2.0,5:07,Dolphins,Reggie Bush 18 yard rush (Dan Carpenter kick),17,10
5,2.0,0:07,Colts,Adam Vinatieri 47 yard field goal,17,13
6,3.0,1:49,Colts,T.Y. Hilton 36 yard pass from Andrew Luck (Adam Vinatieri kick),17,20
7,4.0,13:12,Dolphins,Dan Carpenter 31 yard field goal,20,20
8,4.0,5:58,Colts,Adam Vinatieri 43 yard field goal,20,23
