,Quarter,Tm,Detail,RAI,WAS
0,2.0,Redskins,Chip Lohmiller 39 yard field goal,0,3
1,3.0,Raiders,Alexander Wright 41 yard pass from Vince Evans (Jeff Jaeger kick),7,3
2,3.0,Redskins,Art Monk 49 yard pass from Mark Rypien (Chip Lohmiller kick),7,10
3,4.0,Redskins,Chip Lohmiller 22 yard field goal,7,13
4,4.0,Raiders,Nick Bell 5 yard rush (Jeff Jaeger kick),14,13
5,4.0,Redskins,Ricky Ervins 1 yard rush (Chip Lohmiller kick),14,20
6,4.0,Raiders,Tim Brown 3 yard pass from Vince Evans (Jeff Jaeger kick),21,20
