,Quarter,Tm,Detail,DAL,PIT
0,1.0,Cowboys,Don Perkins 1 yard rush (Sam Baker kick),7,0
1,1.0,Steelers,Buddy Dial 26 yard pass from Bobby Layne (Lou Michaels kick),7,7
2,1.0,Cowboys,Billy Howton 16 yard pass from Eddie LeBaron (Sam Baker kick),14,7
3,2.0,Steelers,Lou Michaels 10 yard field goal,14,10
4,2.0,Cowboys,Frank Clarke 45 yard pass from Eddie LeBaron (Sam Baker kick),21,10
5,3.0,Steelers,Lou Michaels 40 yard field goal,21,13
6,3.0,Cowboys,Frank Clarke 3 yard pass from Eddie LeBaron (Sam Baker kick),28,13
7,4.0,Steelers,John Henry Johnson 1 yard rush (Lou Michaels kick),28,20
8,4.0,Steelers,Buddy Dial 9 yard pass from Bobby Layne (Lou Michaels kick),28,27
9,4.0,Cowboys,Frank Clarke 13 yard pass from Eddie LeBaron (Sam Baker kick),35,27
10,4.0,Cowboys,Lee Folkins 26 yard pass from Eddie LeBaron (Sam Baker kick),42,27
