,Quarter,Tm,Detail,BKN,CRD
0,3.0,Cardinals,Irv Hill 18 yard rush (Irv Hill kick),0,7
1,3.0,Dodgers,Jack Grossman 20 yard rush (Ossie Wiberg kick),7,7
2,4.0,Cardinals,Irv Hill unknown yard rush (Irv Hill kick),7,14
3,4.0,Cardinals,Abe Martin 19 yard rush,7,20
4,4.0,Cardinals,Walt Holmer 7 yard rush (Walt Holmer kick),7,27
