,Quarter,Time,Tm,Detail,HOU,IND
0,1.0,5:08,Colts,Zach Pascal 11 yard pass from Jacoby Brissett (Adam Vinatieri kick),0,7
1,2.0,9:05,Texans,Ka'imi Fairbairn 47 yard field goal,3,7
2,2.0,6:30,Texans,Ka'imi Fairbairn 31 yard field goal,6,7
3,2.0,1:52,Colts,T.Y. Hilton 2 yard pass from Jacoby Brissett (Adam Vinatieri kick),6,14
4,2.0,0:27,Texans,Ka'imi Fairbairn 26 yard field goal,9,14
5,3.0,10:34,Colts,Eric Ebron 4 yard pass from Jacoby Brissett (Adam Vinatieri kick),9,21
6,3.0,8:48,Texans,Keke Coutee 4 yard rush (Ka'imi Fairbairn kick),16,21
7,3.0,1:22,Colts,Zach Pascal 3 yard pass from Jacoby Brissett (Adam Vinatieri kick),16,28
8,4.0,6:43,Texans,DeAndre Hopkins 4 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),23,28
9,4.0,2:44,Colts,Safety,23,30
