,Quarter,Tm,Detail,SFO,RAM
0,1.0,49ers,Bruce Gossett 20 yard field goal,3,0
1,2.0,Rams,Jack Snow 13 yard pass from Roman Gabriel (David Ray kick),3,7
2,2.0,49ers,Bruce Gossett 26 yard field goal,6,7
3,2.0,Rams,Jim Nettles 29 yard interception return (David Ray kick),6,14
4,3.0,Rams,David Ray 49 yard field goal,6,17
