,Quarter,Tm,Detail,OAK,CIN
0,2.0,Raiders,Clarence Davis 1 yard rush (George Blanda kick),7,0
1,2.0,Bengals,Stan Fritts 1 yard rush (Dave Green kick),7,7
2,3.0,Bengals,Marvin Cobb 52 yard interception return (Dave Green kick),7,14
3,4.0,Raiders,George Blanda 30 yard field goal,10,14
