,Quarter,Tm,Detail,SDG,KAN
0,1.0,Chargers,John Cappelletti 3 yard rush (Rolf Benirschke kick),7,0
1,2.0,Chiefs,Ted McKnight 1 yard rush (Nick Lowery kick),7,7
2,2.0,Chargers,Kellen Winslow 15 yard pass from Dan Fouts (Rolf Benirschke kick),14,7
3,2.0,Chargers,Kellen Winslow 16 yard pass from Dan Fouts (Rolf Benirschke kick),21,7
4,3.0,Chargers,Rolf Benirschke 32 yard field goal,24,7
