,Quarter,Tm,Detail,DET,SFO
0,1.0,Lions,Eddie Murray 37 yard field goal,3,0
1,1.0,49ers,Roger Craig 1 yard rush (Ray Wersching kick),3,7
2,2.0,49ers,Wendell Tyler 1 yard rush (Ray Wersching kick),3,14
3,2.0,Lions,Eddie Murray 21 yard field goal,6,14
4,2.0,Lions,Eddie Murray 54 yard field goal,9,14
5,3.0,49ers,Ray Wersching 19 yard field goal,9,17
6,4.0,Lions,Billy Sims 11 yard rush (Eddie Murray kick),16,17
7,4.0,Lions,Billy Sims 3 yard rush (Eddie Murray kick),23,17
8,4.0,49ers,Freddie Solomon 14 yard pass from Joe Montana (Ray Wersching kick),23,24
