,Quarter,Tm,Detail,CHI,DET
0,2.0,Bears,John Dottley 7 yard rush (George Blanda kick),7,0
1,2.0,Lions,Leon Hart 11 yard pass from Bobby Layne (Doak Walker kick),7,7
2,2.0,Bears,John Dottley 1 yard rush (George Blanda kick),14,7
3,3.0,Lions,Jim Doran 37 yard pass from Bobby Layne (Doak Walker kick),14,14
4,3.0,Lions,Dorne Dibble 37 yard pass from Bobby Layne (Doak Walker kick),14,21
5,3.0,Bears,George Gulyanics 4 yard rush (George Blanda kick),21,21
6,4.0,Bears,Bill Wightkin 3 yard blocked punt return (George Blanda kick),28,21
7,4.0,Lions,"Safety, Romanik tackled in end zone by Berrang",28,23
