,Quarter,Tm,Detail,GNB,MIA
0,1.0,Packers,Tim Webster 14 yard field goal,3,0
1,1.0,Dolphins,Garo Yepremian 26 yard field goal,3,3
2,2.0,Dolphins,Garo Yepremian 27 yard field goal,3,6
3,3.0,Packers,Tim Webster 24 yard field goal,6,6
4,3.0,Dolphins,Jim Kiick 1 yard rush (Garo Yepremian kick),6,13
5,3.0,Dolphins,Larry Csonka 1 yard rush (Garo Yepremian kick),6,20
6,4.0,Dolphins,Curtis Johnson 47 yard blocked field goal return (Garo Yepremian kick),6,27
