,Quarter,Time,Tm,Detail,OAK,CIN
0,1.0,,Raiders,Harvey Williams 2 yard rush (Jeff Jaeger kick),7,0
1,2.0,,Raiders,Tim Brown 34 yard pass from Jeff Hostetler (Jeff Jaeger kick),14,0
2,2.0,,Bengals,Doug Pelfrey 45 yard field goal,14,3
3,2.0,,Raiders,Jeff Jaeger 37 yard field goal,17,3
4,4.0,,Bengals,Doug Pelfrey 28 yard field goal,17,6
5,4.0,,Bengals,Doug Pelfrey 48 yard field goal,17,9
6,4.0,,Raiders,Jeff Jaeger 46 yard field goal,20,9
7,4.0,,Bengals,Carl Pickens 4 yard pass from Jeff Blake (Jeff Blake run),20,17
