,Quarter,Tm,Detail,KAN,BUF
0,1.0,Chiefs,Jan Stenerud 42 yard field goal,3,0
1,1.0,Chiefs,Jan Stenerud 27 yard field goal,6,0
2,2.0,Bills,Bob Chandler 20 yard pass from Joe Ferguson (Tom Dempsey kick),6,7
3,2.0,Bills,Terry Miller 8 yard rush (Tom Dempsey kick),6,14
4,2.0,Bills,Bob Chandler 22 yard pass from Joe Ferguson (Tom Dempsey kick),6,21
5,3.0,Bills,Curtis Brown 22 yard rush (Tom Dempsey kick),6,28
6,4.0,Chiefs,Ted McKnight 41 yard rush (Jan Stenerud kick),13,28
