,Quarter,Tm,Detail,WAS,STL
0,1.0,Cardinals,Neil O'Donoghue 24 yard field goal,0,3
1,1.0,Redskins,Mark Moseley 21 yard field goal,3,3
2,1.0,Redskins,Ricky Thompson 34 yard pass from Joe Theismann (Mark Moseley kick),10,3
3,1.0,Cardinals,Roy Green 58 yard pass from Jim Hart,10,9
4,2.0,Cardinals,Neil O'Donoghue 47 yard field goal,10,12
5,2.0,Cardinals,Stump Mitchell 50 yard punt return (Neil O'Donoghue kick),10,19
6,2.0,Redskins,Art Monk 79 yard pass from Joe Theismann (Mark Moseley kick),17,19
7,2.0,Cardinals,Greg LaFleur 27 yard pass from Jim Hart (Neil O'Donoghue kick),17,26
8,4.0,Cardinals,Dave Stief 6 yard pass from Jim Hart (Neil O'Donoghue kick),17,33
9,4.0,Cardinals,Ottis Anderson 7 yard rush (Neil O'Donoghue kick),17,40
10,4.0,Redskins,Rick Walker 20 yard pass from Joe Theismann,23,40
11,4.0,Redskins,Ricky Thompson 10 yard pass from Joe Theismann (Mark Moseley kick),30,40
