,Quarter,Tm,Detail,CRD,CLE
0,1.0,Cardinals,Charley Trippi 2 yard rush,6,0
1,1.0,Browns,Marion Motley 52 yard pass from Otto Graham (Lou Groza kick),6,7
2,2.0,Browns,Ken Carpenter 4 yard rush (Lou Groza kick),6,14
3,2.0,Cardinals,Ollie Matson 17 yard rush (Joe Geri kick),13,14
4,3.0,Browns,Mac Speedie 43 yard pass from Otto Graham (Lou Groza kick),13,21
5,3.0,Browns,Ken Carpenter 1 yard rush (Lou Groza kick),13,28
