,Quarter,Time,Tm,Detail,IND,TEN
0,1.0,8:57,Colts,Eric Ebron 3 yard pass from Jacoby Brissett (Adam Vinatieri kick),7,0
1,2.0,15:00,Titans,David Quessenberry 1 yard pass from Marcus Mariota (Cairo Santos kick),7,7
2,2.0,8:05,Colts,Parris Campbell 12 yard pass from Jacoby Brissett (Adam Vinatieri kick failed),13,7
3,3.0,11:34,Titans,Derrick Henry 1 yard rush (Cairo Santos kick),13,14
4,3.0,4:40,Titans,Cairo Santos 49 yard field goal,13,17
5,4.0,4:42,Colts,T.Y. Hilton 4 yard pass from Jacoby Brissett (Adam Vinatieri kick failed),19,17
