,Quarter,Tm,Detail,BUF,CLE
0,1.0,Bills,Andre Reed 72 yard pass from Jim Kelly (Scott Norwood kick),7,0
1,1.0,Browns,Matt Bahr 45 yard field goal,7,3
2,2.0,Browns,Webster Slaughter 52 yard pass from Bernie Kosar (Matt Bahr kick),7,10
3,2.0,Bills,James Lofton 33 yard pass from Jim Kelly (Scott Norwood kick),14,10
4,2.0,Browns,Ron Middleton 3 yard pass from Bernie Kosar (Matt Bahr kick),14,17
5,3.0,Browns,Webster Slaughter 44 yard pass from Bernie Kosar (Matt Bahr kick),14,24
6,3.0,Bills,Thurman Thomas 6 yard pass from Jim Kelly (Scott Norwood kick),21,24
7,3.0,Browns,Eric Metcalf 90 yard kickoff return (Matt Bahr kick),21,31
8,4.0,Bills,Scott Norwood 30 yard field goal,24,31
9,4.0,Browns,Matt Bahr 47 yard field goal,24,34
10,4.0,Bills,Thurman Thomas 3 yard pass from Jim Kelly,30,34
