,Quarter,Tm,Detail,RAM,DET
0,1.0,Lions,Earl McCullouch 32 yard pass from Bill Munson (Errol Mann kick),0,7
1,2.0,Lions,Bill Triplett 62 yard pass from Bill Munson (Errol Mann kick),0,14
2,2.0,Lions,Errol Mann 38 yard field goal,0,17
3,2.0,Lions,"Safety, Los Angeles holding in the end zone",0,19
4,3.0,Lions,Errol Mann 22 yard field goal,0,22
5,4.0,Lions,Errol Mann 17 yard field goal,0,25
6,4.0,Lions,Errol Mann 42 yard field goal,0,28
