,Quarter,Time,Tm,Detail,MIA,SDG
0,1.0,,Dolphins,Keith Jackson 8 yard pass from Dan Marino (Pete Stoyanovich kick),7,0
1,2.0,,Chargers,John Carney 20 yard field goal,7,3
2,2.0,,Dolphins,Keith Jackson 9 yard pass from Dan Marino (Pete Stoyanovich kick),14,3
3,2.0,,Chargers,John Carney 21 yard field goal,14,6
4,2.0,,Dolphins,Mike Williams 16 yard pass from Dan Marino (Pete Stoyanovich kick),21,6
5,3.0,7:06,Chargers,"Safety, R. Davis tackled Parmalee in end zone",21,8
6,3.0,7:06,Chargers,Natrone Means 24 yard rush (John Carney kick),21,15
7,4.0,7:06,Chargers,Mark Seay 8 yard pass from Stan Humphries (John Carney kick),21,22
