,Quarter,Tm,Detail,BAL,MIA
0,2.0,Dolphins,Garo Yepremian 23 yard field goal,0,3
1,3.0,Colts,Glenn Doughty 11 yard pass from Don McCauley (Toni Linhart kick),7,3
2,3.0,Dolphins,Don Nottingham 2 yard rush (Garo Yepremian kick),7,10
3,4.0,Dolphins,Benny Malone 23 yard rush (Garo Yepremian kick),7,17
