,Quarter,Tm,Detail,CHI,CLE
0,1.0,Browns,Leon Clarke 27 yard pass from Milt Plum (Sam Baker kick),0,7
1,2.0,Browns,Bernie Parrish 92 yard interception return (Sam Baker kick),0,14
2,2.0,Browns,Bobby Franklin 31 yard interception return (Sam Baker kick),0,21
3,2.0,Browns,Jim Brown 4 yard rush (Sam Baker kick),0,28
4,4.0,Browns,Bobby Franklin 37 yard interception return (Sam Baker kick),0,35
5,4.0,Browns,Prentice Gautt 3 yard rush (Sam Baker kick),0,42
