,Quarter,Time,Tm,Detail,NYJ,ARI
0,1.0,,Jets,Nick Lowery 37 yard field goal,3,0
1,2.0,0:39,Jets,Keyshawn Johnson 34 yard pass from Frank Reich (Nick Lowery kick),10,0
2,2.0,0:39,Jets,Richie Anderson 1 yard rush (Nick Lowery kick),17,0
3,3.0,0:39,Cardinals,Larry Centers 1 yard pass from Kent Graham (Greg Davis kick),17,7
4,3.0,0:39,Cardinals,Larry Centers 2 yard pass from Kent Graham (Greg Davis kick),17,14
5,4.0,0:39,Jets,Adrian Murrell 1 yard rush (Nick Lowery kick),24,14
6,4.0,0:39,Cardinals,Rob Moore 6 yard pass from Kent Graham (Greg Davis kick),24,21
7,4.0,0:39,Jets,Reggie Cobb 2 yard rush (Nick Lowery kick),31,21
