,Quarter,Tm,Detail,TAM,GNB
0,1,Packers,Terdell Middleton 2 yard rush (pass failed),0,6
1,3,Buccaneers,Ricky Bell 1 yard rush (Neil O'Donoghue kick),7,6
2,4,Packers,Chester Marcol 48 yard field goal,7,9
