,Quarter,Time,Tm,Detail,BUF,ATL
0,2.0,10:31,Falcons,Matt Bryant 28 yard field goal,0,3
1,2.0,6:51,Bills,Jordan Matthews 9 yard pass from Tyrod Taylor (Stephen Hauschka kick),7,3
2,2.0,0:18,Falcons,Devonta Freeman 1 yard rush (Matt Bryant kick),7,10
3,3.0,10:55,Bills,Tre'Davious White 52 yard fumble return (Stephen Hauschka kick),14,10
4,4.0,12:00,Bills,Stephen Hauschka 24 yard field goal,17,10
5,4.0,7:00,Falcons,Justin Hardy 3 yard pass from Matt Ryan (Matt Bryant kick),17,17
6,4.0,4:44,Bills,Stephen Hauschka 56 yard field goal,20,17
7,4.0,3:06,Bills,Stephen Hauschka 55 yard field goal,23,17
