,Quarter,Tm,Detail,NYG,TAM
0,1.0,Giants,Dave Meggett 70 yard punt return (Matt Bahr kick),7,0
1,2.0,Buccaneers,Reggie Cobb 27 yard rush (Steve Christie kick),7,7
2,3.0,Giants,Rodney Hampton 5 yard rush (Matt Bahr kick),14,7
3,4.0,Buccaneers,Willie Drewrey 19 yard pass from Vinny Testaverde (Steve Christie kick),14,14
4,4.0,Giants,Stephen Baker 30 yard pass from Phil Simms (Matt Bahr kick),21,14
