,Quarter,Tm,Detail,ATL,NOR
0,2.0,Falcons,William Andrews 1 yard rush (Mick Luckhurst kick),7,0
1,2.0,Falcons,Mick Luckhurst 43 yard field goal,10,0
2,2.0,Saints,Wayne Wilson 5 yard rush (Morten Andersen kick),10,7
3,3.0,Saints,Hokie Gajan 9 yard rush (Morten Andersen kick),10,14
4,4.0,Saints,Tyrone Young 19 yard pass from Dave Wilson,10,20
5,4.0,Saints,Hokie Gajan 11 yard rush (Morten Andersen kick),10,27
