,Quarter,Tm,Detail,CLE,CHI
0,1.0,Browns,Lou Groza 33 yard field goal,3,0
1,2.0,Browns,Lou Groza 33 yard field goal,6,0
2,2.0,Bears,George Blanda 23 yard field goal,6,3
3,3.0,Browns,Otto Graham 1 yard rush (Lou Groza kick),13,3
4,3.0,Browns,Warren Lahr 27 yard interception return (Lou Groza kick),20,3
5,3.0,Browns,Lou Groza 37 yard field goal,23,3
6,4.0,Browns,"Safety, Bratkowski tackled in end zone by Ford",25,3
7,4.0,Browns,Dante Lavelli 8 yard pass from Otto Graham (Lou Groza kick),32,3
8,4.0,Browns,Chet Hanulak 7 yard rush (Lou Groza kick),39,3
9,4.0,Bears,Harlon Hill 65 yard pass from Zeke Bratkowski (Pete Perini kick),39,10
