,Quarter,Tm,Detail,TAM,NOR
0,1.0,Saints,Aundra Thompson 14 yard pass from Ken Stabler (Toni Fritsch kick),0,7
1,2.0,Buccaneers,Bill Capece 29 yard field goal,3,7
2,3.0,Buccaneers,Kevin House 34 yard pass from Doug Williams (Bill Capece kick),10,7
3,3.0,Saints,Toni Fritsch 45 yard field goal,10,10
4,3.0,Buccaneers,Bill Capece 50 yard field goal,13,10
